CompoundName,ExperimentType,ChemicalFormula,Ionization,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,
LPC(18:1),XIC,C26 H52 O7 N1 P1,ESI,522.35541847,H-Gain,+,1,3.0660222291817556,,
LPC(18:1),XIC,C26 H52 O7 N1 P1,ESI,522.35541847,H-Gain,+,1,4.0285902784869565,,
LPC(18:2),XIC,C26 H50 O7 N1 P1,ESI,564.33069553,HCO2-Gain,-,1,2.3932777733759463,,
LPC(18:2),XIC,C26 H50 O7 N1 P1,ESI,520.3397684700001,H-Gain,+,1,2.3932777733759463,,
LPC(18:3),XIC,C26 H48 O7 N1 P1,ESI,562.3150455299999,HCO2-Gain,-,1,1.9538611188499102,,
LPC(18:3),XIC,C26 H48 O7 N1 P1,ESI,518.32411847,H-Gain,+,1,1.9538611188499102,,
LPC(18:3),XIC,C26 H48 O7 N1 P1,ESI,540.30606347,Na-Gain,+,1,1.9538611188499102,,
LPC(20:0),XIC,C28 H58 O7 N1 P1,ESI,552.40236847,H-Gain,+,1,5.031,,
LPC(20:1),XIC,C28 H56 O7 N1 P1,ESI,550.38671847,H-Gain,+,1,4.066251184119454,,
LPC(37:0),XIC,C45 H92 O7 N1 P1,ESI,812.65036347,Na-Gain,+,1,18.894954606894267,,
PA(21:1e),XIC,C24 H47 O7 N0 P1,ESI,496.3397684700001,NH4-Gain,+,1,2.879800956734301,,
PA(33:2),XIC,C36 H67 O8 N0 P1,ESI,657.4500815299999,H-Loss,-,1,7.536548797215141,,
PA(35:1),XIC,C38 H73 O8 N0 P1,ESI,687.49703153,H-Loss,-,1,11.183,,
PA(35:2),XIC,C38 H71 O8 N0 P1,ESI,685.4813815299999,H-Loss,-,1,9.242953614715319,,
PA(41:2),XIC,C44 H83 O8 N0 P1,ESI,769.57528153,H-Loss,-,1,7.058,,
PA(43:2),XIC,C46 H87 O8 N0 P1,ESI,797.60658153,H-Loss,-,1,8.856471825725919,,
PA(58:0),XIC,C61 H121 O8 N0 P1,ESI,1011.8726315299999,H-Loss,-,1,17.87418498319743,,
PC(8:0_8:0),XIC,C24 H48 O8 N1 P1,ESI,510.3190334700001,H-Gain,+,1,1.4279771611764596,,
PC(16:1),XIC,C24 H46 O8 N1 P1,ESI,508.30338347,H-Gain,+,1,1.3203089348434287,,
PC(9:0_9:0),XIC,C26 H52 O8 N1 P1,ESI,538.3503334700001,H-Gain,+,1,1.8187545601436024,,
PC(9:0_9:0),XIC,C26 H52 O8 N1 P1,ESI,582.34126053,HCO2-Gain,-,1,1.8187545601436024,,
PC(8:0_10:1),XIC,C26 H50 O8 N1 P1,ESI,536.3346834700002,H-Gain,+,1,1.594211965780382,,
PC(12:1e_6:0),XIC,C26 H52 O7 N1 P1,ESI,522.35541847,H-Gain,+,1,3.998402212547759,,
PC(28:0),XIC,C36 H72 O8 N1 P1,ESI,678.5068334700001,H-Gain,+,1,7.311,,
PC(29:2),XIC,C37 H70 O8 N1 P1,ESI,688.4911834700001,H-Gain,+,1,8.002391975282993,,
PC(29:2),XIC,C37 H70 O8 N1 P1,ESI,688.4911834700001,H-Gain,+,1,8.506,,
PC(16:0_14:0),XIC,C38 H76 O8 N1 P1,ESI,706.5381334700002,H-Gain,+,1,9.047137949940481,,
PC(16:1_14:0),XIC,C38 H74 O8 N1 P1,ESI,748.51341053,HCO2-Gain,-,1,7.530036106002816,,
